,scenario,method,mean,var,KLD,delta=0.1,delta=0.2,delta=0.01
0,scenario1,true,65.0,0.0,0.0,2.75,1.05,0.13
1,scenario1,bhm,64.28,0.369,0.0006386074457919113,3.29,1.26,0.16
2,scenario1,mle,64.24,0.369,0.0006976745231362666,3.31,1.26,0.16
3,scenario2,true,64.97,1.481,0.0,3.03,1.15,0.15
4,scenario2,bhm,63.88,0.342,0.0006769489082029043,3.56,1.36,0.17
5,scenario2,mle,63.85,0.342,0.000737145486561439,3.58,1.37,0.17
6,scenario3,true,64.94,2.963,0.0,4.0,1.49,0.18
7,scenario3,bhm,62.75,0.306,0.0008993909717791152,4.43,1.7,0.22
8,scenario3,mle,62.71,0.306,0.0009651170625866824,4.45,1.7,0.21
9,scenario4,true,64.92,4.444,0.0,6.5,2.34,0.26
10,scenario4,bhm,61.22,0.252,0.0021080861073895967,6.12,2.34,0.3
11,scenario4,mle,61.19,0.252,0.0021860132903465993,6.14,2.35,0.29
12,scenario5,true,70.0,0.0,0.0,0.71,0.29,0.04
13,scenario5,bhm,69.14,0.684,0.00015580540060740406,0.85,0.35,0.05
14,scenario5,mle,69.07,0.684,0.0001749507310096799,0.85,0.34,0.05
15,scenario6,true,69.96,1.975,0.0,0.83,0.34,0.05
16,scenario6,bhm,68.92,0.52,0.0002522225082960342,0.94,0.38,0.06
17,scenario6,mle,68.87,0.52,0.00028031134463002454,0.94,0.38,0.05
18,scenario7,true,69.93,3.95,0.0,1.31,0.51,0.07
19,scenario7,bhm,68.2,0.451,0.0007874962999553577,1.24,0.49,0.07
20,scenario7,mle,68.24,0.451,0.0006965820653461961,1.21,0.48,0.06
21,scenario8,true,69.89,5.926,0.0,2.99,1.09,0.13
22,scenario8,bhm,66.62,0.44,0.0036887533851511487,2.07,0.79,0.1
23,scenario8,mle,66.57,0.44,0.0038046108560715014,2.07,0.79,0.1
24,scenario9,true,75.0,0.0,0.0,0.2,0.08,0.01
25,scenario9,bhm,66.8,0.859,0.0015084820282741044,0.39,0.19,0.04
26,scenario9,mle,66.71,0.859,0.0014935237268747929,0.39,0.19,0.04
27,scenario10,true,74.95,2.469,0.0,0.25,0.11,0.02
28,scenario10,bhm,67.33,0.724,0.0010430572036076772,0.42,0.2,0.04
29,scenario10,mle,67.26,0.724,0.0010186321691851047,0.41,0.19,0.04
30,scenario11,true,74.91,4.938,0.0,0.48,0.19,0.03
31,scenario11,bhm,67.66,0.593,0.000210291527391492,0.58,0.26,0.05
32,scenario11,mle,67.6,0.593,0.00019616316918597928,0.58,0.26,0.04
33,scenario12,true,74.86,7.407,0.0,1.66,0.61,0.07
34,scenario12,bhm,69.15,0.564,0.0026425119488451016,0.93,0.37,0.05
35,scenario12,mle,69.09,0.564,0.0027160247797318286,0.93,0.37,0.05
